2021-12-14 14:12:378 INFO  HomePage :65 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //button[@id='save']]
2021-12-14 14:12:507 INFO  HomePage :70 - Send text to JobTitle : Automation Tester[[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //input[@id='keywords']]
2021-12-14 14:12:576 INFO  HomePage :75 - Send text to JobLocation : HA1 1AB[[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //input[@id='location']]
2021-12-14 14:12:660 INFO  HomePage :80 - Select Distance : up to 10 miles[[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //select[@id='distance']]
2021-12-14 14:12:779 INFO  HomePage :85 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-14 14:12:984 INFO  HomePage :90 - Send text to MinSalary : 300[[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //input[@id='salarymin']]
2021-12-14 14:12:49 INFO  HomePage :95 - Send text to MaxSalary : 400[[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //input[@id='salarymax']]
2021-12-14 14:12:125 INFO  HomePage :100 - Selecting salary type from dropdown: Per day[[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //select[@id='salarytype']]
2021-12-14 14:12:197 INFO  HomePage :105 - Selecting job type from dropdown: Contract[[ChromeDriver: chrome on WINDOWS (305c40278dcde4e8b6b5cd2669cf9395)] -> xpath: //select[@id='tempperm']]
2021-12-14 14:12:242 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-14 14:12:595 INFO  HomePage :65 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //button[@id='save']]
2021-12-14 14:12:724 INFO  HomePage :70 - Send text to JobTitle : Research Scientist[[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //input[@id='keywords']]
2021-12-14 14:12:815 INFO  HomePage :75 - Send text to JobLocation : Newcastle upon Tyne[[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //input[@id='location']]
2021-12-14 14:12:893 INFO  HomePage :80 - Select Distance : up to 10 miles[[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //select[@id='distance']]
2021-12-14 14:12:185 INFO  HomePage :85 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-14 14:12:366 INFO  HomePage :90 - Send text to MinSalary : 400[[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //input[@id='salarymin']]
2021-12-14 14:12:456 INFO  HomePage :95 - Send text to MaxSalary : 500[[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //input[@id='salarymax']]
2021-12-14 14:12:537 INFO  HomePage :100 - Selecting salary type from dropdown: Per day[[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //select[@id='salarytype']]
2021-12-14 14:12:608 INFO  HomePage :105 - Selecting job type from dropdown: Contract[[ChromeDriver: chrome on WINDOWS (47a53b76bde426206715142b99988992)] -> xpath: //select[@id='tempperm']]
2021-12-14 14:12:689 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-14 14:12:290 INFO  HomePage :65 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //button[@id='save']]
2021-12-14 14:12:582 INFO  HomePage :70 - Send text to JobTitle : Tester[[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //input[@id='keywords']]
2021-12-14 14:12:723 INFO  HomePage :75 - Send text to JobLocation : Watford, Hertfordshire[[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //input[@id='location']]
2021-12-14 14:12:808 INFO  HomePage :80 - Select Distance : up to 5 miles[[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //select[@id='distance']]
2021-12-14 14:12:125 INFO  HomePage :85 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-14 14:12:307 INFO  HomePage :90 - Send text to MinSalary : 40000[[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //input[@id='salarymin']]
2021-12-14 14:12:393 INFO  HomePage :95 - Send text to MaxSalary : 60000[[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //input[@id='salarymax']]
2021-12-14 14:12:441 INFO  HomePage :100 - Selecting salary type from dropdown: Per annum[[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //select[@id='salarytype']]
2021-12-14 14:12:515 INFO  HomePage :105 - Selecting job type from dropdown: Contract[[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //select[@id='tempperm']]
2021-12-14 14:12:596 INFO  HomePage :110 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> id: hp-search-btn]
2021-12-14 14:12:384 INFO  ResultPage :26 - Verifying Search result: Contract Tester jobs in Watford[[ChromeDriver: chrome on WINDOWS (f12c740e4d805cc7ebca82ab91820818)] -> xpath: //div[@class='search-header__title']]
2021-12-14 15:12:839 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-14 15:12:591 INFO  HomePage :66 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //button[@id='save']]
2021-12-14 15:12:530 INFO  HomePage :71 - Send text to JobTitle : Tester[[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //input[@id='keywords']]
2021-12-14 15:12:918 INFO  HomePage :76 - Send text to JobLocation : Harrow[[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //input[@id='location']]
2021-12-14 15:12:195 INFO  HomePage :81 - Select Distance : up to 5 miles[[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //select[@id='distance']]
2021-12-14 15:12:439 INFO  HomePage :86 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-14 15:12:815 INFO  HomePage :91 - Send text to MinSalary : 30000[[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //input[@id='salarymin']]
2021-12-14 15:12:25 INFO  HomePage :96 - Send text to MaxSalary : 50000[[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //input[@id='salarymax']]
2021-12-14 15:12:176 INFO  HomePage :101 - Selecting salary type from dropdown: Per annum[[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //select[@id='salarytype']]
2021-12-14 15:12:385 INFO  HomePage :106 - Selecting job type from dropdown: Permanent[[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //select[@id='tempperm']]
2021-12-14 15:12:572 INFO  HomePage :111 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> id: hp-search-btn]
2021-12-14 15:12:673 INFO  ResultPage :26 - Verifying Search result: Permanent Tester jobs in Harrow on the Hill[[ChromeDriver: chrome on WINDOWS (4cbdd85d3e66c826fc223f2bfe084436)] -> xpath: //div[@class='search-header__title']]
2021-12-14 15:12:981 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-14 15:12:172 INFO  HomePage :66 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (bab7ac749ca12d20a3b209ac9c27366d)] -> xpath: //button[@id='save']]
2021-12-14 15:12:202 INFO  HomePage :71 - Send text to JobTitle : Scientist[[ChromeDriver: chrome on WINDOWS (bab7ac749ca12d20a3b209ac9c27366d)] -> xpath: //input[@id='keywords']]
2021-12-14 15:12:592 INFO  HomePage :76 - Send text to JobLocation : Harrow[[ChromeDriver: chrome on WINDOWS (bab7ac749ca12d20a3b209ac9c27366d)] -> xpath: //input[@id='location']]
2021-12-14 15:12:720 INFO  HomePage :81 - Select Distance : up to 15 miles[[ChromeDriver: chrome on WINDOWS (bab7ac749ca12d20a3b209ac9c27366d)] -> xpath: //select[@id='distance']]
2021-12-14 15:12:53 INFO  HomePage :86 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (bab7ac749ca12d20a3b209ac9c27366d)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-14 15:12:333 INFO  HomePage :91 - Send text to MinSalary : 30000[[ChromeDriver: chrome on WINDOWS (bab7ac749ca12d20a3b209ac9c27366d)] -> xpath: //input[@id='salarymin']]
